Model,Incomplete,Step,Time,Prob0,Results0,Prob1,Results1,Prob2,Results2,Label
goal0_sas_plan.0,0.1,1,0.03197932243347168,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal0
goal0_sas_plan.1,0.1,1,0.047968149185180664,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.2,0.1,1,0.03197884559631348,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.3,0.1,1,0.03197956085205078,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal0
goal1_sas_plan.0,0.1,1,0.03997349739074707,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.1,0.1,1,0.03197646141052246,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.10,0.1,1,0.03197765350341797,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.11,0.1,1,0.039972782135009766,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.2,0.1,1,0.04796767234802246,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.3,0.1,1,0.023984193801879883,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
