Model,Incomplete,Step,Time,Prob0,Results0,Prob1,Results1,Prob2,Results2,Label
goal0_sas_plan.0,0.1,3,0.037960052490234375,"[0.07377763 0.0077917  0.01249538 0.00382788 0.00570214 0.00298943
 0.00880463 0.00490588]",goal0,"[0.07377763 0.0077917  0.01249538 0.00382788 0.00570214 0.00298943
 0.00880463 0.00490588]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.1,0.1,3,0.0039882659912109375,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.10,0.1,4,0.02201366424560547,"[0.03656992 0.01025817 0.01652714 0.00469064 0.01462184 0.00674935
 0.01289413 0.00556949]",goal0,"[0.03656992 0.01025817 0.01652714 0.00469064 0.01462184 0.00674935
 0.01289413 0.00556949]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.11,0.1,3,0.0289304256439209,"[0.03604523 0.01016463 0.01659449 0.0046911  0.01519512 0.00696773
 0.01301536 0.00554798]",goal0,"[0.03604523 0.01016463 0.01659449 0.0046911  0.01519512 0.00696773
 0.01301536 0.00554798]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.12,0.1,3,0.027968645095825195,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.13,0.1,3,0.01298069953918457,"[0.02915055 0.03006336 0.00879073 0.00281207 0.00275712 0.00155355
 0.00584698 0.00376336]",goal1,"[0.02915055 0.03006336 0.00879073 0.00281207 0.00275712 0.00155355
 0.00584698 0.00376336]",goal1,"[0.0050838  0.05641075 0.         0.         0.         0.
 0.         0.        ]",goal1,goal0
goal0_sas_plan.14,0.1,2,0.011948108673095703,"[0.03729304 0.00319786 0.02028274 0.00515117 0.00887812 0.00437249
 0.03884893 0.00201346]",goal6,"[0.03729304 0.00319786 0.02028274 0.00515117 0.00887812 0.00437249
 0.03884893 0.00201346]",goal6,"[0.01762194 0.         0.02886105 0.00541145 0.01033461 0.00495798
 0.05600692 0.        ]",goal6,goal0
goal0_sas_plan.15,0.1,3,0.028974533081054688,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.16,0.1,4,0.014020442962646484,"[0.07791142 0.00763373 0.0119398  0.00370369 0.00488919 0.0026172
 0.00827409 0.00480642]",goal0,"[0.07791142 0.00763373 0.0119398  0.00370369 0.00488919 0.0026172
 0.00827409 0.00480642]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.17,0.1,3,0.01997518539428711,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.0394484  0.01018811 0.0161821  0.00461238 0.01379603 0.00641368
 0.01255321 0.00550002]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.18,0.1,4,0.022969961166381836,"[0.03703709 0.00964746 0.01673826 0.00475056 0.01480863 0.00683557
 0.01305885 0.00564064]",goal0,"[0.03703709 0.00964746 0.01673826 0.00475056 0.01480863 0.00683557
 0.01305885 0.00564064]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
