Model,Incomplete,Step,Time,Prob0,Results0,Prob1,Results1,Prob2,Results2,Label
goal0_sas_plan.0,0.1,1,0.07194662094116211,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal0
goal0_sas_plan.1,0.1,1,0.07195162773132324,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.10,0.1,1,0.06395745277404785,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.11,0.1,1,0.07194995880126953,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.12,0.1,1,0.07195258140563965,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.13,0.1,1,0.07994604110717773,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.14,0.1,1,0.08794093132019043,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.15,0.1,1,0.06395626068115234,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.16,0.1,1,0.07194948196411133,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.17,0.1,1,0.08793902397155762,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.18,0.1,1,0.05596160888671875,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.19,0.1,1,0.07195067405700684,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal0
goal0_sas_plan.2,0.1,1,0.10393023490905762,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.20,0.1,1,0.06395983695983887,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.21,0.1,1,0.07195115089416504,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.22,0.1,1,0.055962324142456055,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.23,0.1,1,0.07994532585144043,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.24,0.1,1,0.07994627952575684,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.25,0.1,1,0.08794164657592773,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.26,0.1,1,0.08794116973876953,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal0
goal0_sas_plan.27,0.1,1,0.05596184730529785,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal0
goal0_sas_plan.28,0.1,1,0.08794093132019043,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.3,0.1,1,0.07195019721984863,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.4,0.1,1,0.08794069290161133,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.5,0.1,1,0.06395697593688965,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal0
goal0_sas_plan.6,0.1,1,0.08794140815734863,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.7,0.1,1,0.07195162773132324,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal0
goal0_sas_plan.8,0.1,1,0.08794116973876953,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal0_sas_plan.9,0.1,1,0.07195138931274414,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal0,"[0.00583509 0.01194226 0.01812182 0.00987547 0.00414834 0.00676806
 0.00295914 0.00929467 0.0103557 ]",goal2,"[0.02080403 0.0061457  0.01108448 0.00390525 0.         0.
 0.         0.         0.        ]",goal0,goal0
goal1_sas_plan.0,0.1,1,0.08794164657592773,"[0.00303068 0.01022634 0.015518   0.01085833 0.00585666 0.00955521
 0.00253396 0.01684926 0.01877268]",goal7,"[0.00303068 0.01022634 0.015518   0.01085833 0.00585666 0.00955521
 0.00253396 0.01684926 0.01877268]",goal8,"[0.         0.00494666 0.02486895 0.02019559 0.01886034 0.0161184
 0.         0.01633267 0.02936044]",goal8,goal1
goal1_sas_plan.1,0.1,1,0.07994556427001953,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal0,"[0.00502635 0.01028708 0.02004372 0.00850675 0.00589144 0.01234192
 0.00254901 0.00800644 0.01888417]",goal2,"[0.00617595 0.03023341 0.03584191 0.01314481 0.00275893 0.00048687
 0.         0.         0.00020838]",goal2,goal1
