Model,Incomplete,Step,Time,Prob0,Results0,Prob1,Results1,Prob2,Results2,Label
goal0_sas_plan.0,0.3,7,0.025133132934570312,"[0.09835514 0.00636115 0.00935557 0.00299275 0.00293427 0.00165337
 0.00622267 0.00400517]",goal0,"[0.09835514 0.00636115 0.00935557 0.00299275 0.00293427 0.00165337
 0.00622267 0.00400517]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.1,0.3,9,0.025963783264160156,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.10,0.3,10,0.026586294174194336,"[0.05568802 0.01237664 0.01348    0.00394922 0.00905747 0.00440804
 0.00916518 0.00440069]",goal0,"[0.05568802 0.01237664 0.01348    0.00394922 0.00905747 0.00440804
 0.00916518 0.00440069]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.11,0.3,7,0.020889759063720703,"[0.02545012 0.01096782 0.01758885 0.00490605 0.01808783 0.0081111
 0.01404381 0.005725  ]",goal1,"[0.02545012 0.01096782 0.01758885 0.00490605 0.01808783 0.0081111
 0.01404381 0.005725  ]",goal0,"[0.02545012 0.01096782 0.01758885 0.00490605 0.01808783 0.0081111
 0.01404381 0.005725  ]",goal0,goal0
goal0_sas_plan.12,0.3,9,0.02944183349609375,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.13,0.3,8,0.022360563278198242,"[0.02539334 0.01085048 0.01759953 0.0048951  0.01854996 0.00827904
 0.01410567 0.00569602]",goal1,"[0.02539334 0.01085048 0.01759953 0.0048951  0.01854996 0.00827904
 0.01410567 0.00569602]",goal0,"[0.02539334 0.01085048 0.01759953 0.0048951  0.01854996 0.00827904
 0.01410567 0.00569602]",goal0,goal0
goal0_sas_plan.14,0.3,6,0.016698122024536133,"[0.10173701 0.00609271 0.00896077 0.00286646 0.00281045 0.0015836
 0.00596007 0.00383615]",goal0,"[0.10173701 0.00609271 0.00896077 0.00286646 0.00281045 0.0015836
 0.00596007 0.00383615]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.15,0.3,9,0.02534008026123047,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.16,0.3,10,0.02857065200805664,"[0.05396508 0.0099136  0.0143682  0.00420943 0.00965427 0.00469848
 0.01074519 0.00515934]",goal0,"[0.05396508 0.0099136  0.0143682  0.00420943 0.00965427 0.00469848
 0.01074519 0.00515934]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.17,0.3,9,0.02483820915222168,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.18,0.3,10,0.028832435607910156,"[0.05667816 0.010412   0.01371968 0.00401944 0.00921851 0.00448641
 0.0102602  0.00492647]",goal0,"[0.05667816 0.010412   0.01371968 0.00401944 0.00921851 0.00448641
 0.0102602  0.00492647]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.19,0.3,7,0.02335953712463379,"[0.02574475 0.0104226  0.01779247 0.00496284 0.01829723 0.008205
 0.01420639 0.00579128]",goal1,"[0.02574475 0.0104226  0.01779247 0.00496284 0.01829723 0.008205
 0.01420639 0.00579128]",goal0,"[0.02574475 0.0104226  0.01779247 0.00496284 0.01829723 0.008205
 0.01420639 0.00579128]",goal0,goal0
goal0_sas_plan.2,0.3,10,0.024242639541625977,"[0.05396508 0.0099136  0.0143682  0.00420943 0.00965427 0.00469848
 0.01074519 0.00515934]",goal0,"[0.05396508 0.0099136  0.0143682  0.00420943 0.00965427 0.00469848
 0.01074519 0.00515934]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.20,0.3,9,0.027928590774536133,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.06037644 0.01191261 0.01248964 0.0036853  0.00788828 0.003885
 0.00925179 0.00454931]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
goal0_sas_plan.21,0.3,11,0.0281524658203125,"[0.04801268 0.01119122 0.01340682 0.00419356 0.01242328 0.0058688
 0.01116012 0.00504892]",goal0,"[0.04801268 0.01119122 0.01340682 0.00419356 0.01242328 0.0058688
 0.01116012 0.00504892]",goal0,"[0.17849462 0.         0.         0.         0.         0.
 0.         0.        ]",goal0,goal0
